stuid,registration_date,election_cycle,president_vote,vice_president_vote,secretary_vote,treasurer_vote,class_president_vote,class_senator_vote
1001,2015-08-30,Spring,1004,1007,1010,1035,1001,1028
1002,2014-08-30,Spring,1014,1007,1020,1025,1021,1028
1003,2013-08-30,Spring,1004,1017,1030,1035,1031,1028
1004,2013-08-30,Spring,1024,1017,1020,1035,1011,1028
1005,2012-08-30,Spring,1024,1017,1010,1035,1021,1028
1001,2015-08-30,Fall,1004,1007,1010,1035,1021,1028
1002,2014-08-30,Fall,1004,1007,1020,1035,1021,1028
1003,2013-08-30,Fall,1004,1017,1020,1035,1031,1028
1004,2013-08-30,Fall,1024,1017,1020,1035,1011,1018
1005,2012-08-30,Fall,1024,1017,1010,1035,1021,1028
