country,continent,year,lifeExp,population,gdpPerCap
Afghanistan,Asia,2002,42.129,25268405,726.7340548
Bahrain,Asia,2002,74.795,656397,23403.55927
Bangladesh,Asia,1987,52.819,103764241,751.9794035
Cambodia,Asia,1997,56.534,11782962,734.28517
China,Asia,1952,44.0,556263527,400.448611
"Hong Kong, China",Asia,1992,77.601,5829696,24757.60301
Iran,Asia,1962,49.325,22874000,4187.329802
Iraq,Asia,1962,51.457,7240260,8341.737815
Japan,Asia,1957,65.5,91563009,4317.694365
Jordan,Asia,1982,63.739,2347031,4161.415959
"Korea, Dem. Rep.",Asia,1997,67.727,21585105,1690.756814
Kuwait,Asia,1987,74.174,1891487,28118.42998
Lebanon,Asia,1997,70.265,3430388,8754.96385
Malaysia,Asia,1992,70.693,18319502,7277.912802
Myanmar,Asia,2002,59.908,45598081,611.0
Oman,Asia,1977,57.367,1004533,11848.34392
Saudi Arabia,Asia,1997,70.533,21229759,20586.69019
Sri Lanka,Asia,1982,68.757,15410151,1648.079789
Thailand,Asia,2007,70.616,65068149,7458.396327
West Bank and Gaza,Asia,2002,72.37,3389578,4515.487575
Albania,Europe,2002,75.651,3508512,4604.211737
Austria,Europe,2002,78.98,8148312,32417.60769
Belgium,Europe,1987,75.35,9870200,22525.56308
Bosnia and Herzegovina,Europe,1997,73.244,3607000,4766.355904
Bulgaria,Europe,1952,59.6,7274900,2444.286648
Croatia,Europe,1992,72.527,4494013,8447.794873
Finland,Europe,1962,68.75,4491443,9371.842561
France,Europe,1962,70.51,47124000,10560.48553
Greece,Europe,1957,67.86,8096218,4916.299889
Hungary,Europe,1982,69.39,10705535,12545.99066
Iceland,Europe,1997,78.95,271192,28061.09966
Italy,Europe,1987,76.42,56729703,19207.23482
Montenegro,Europe,1997,75.445,692651,6465.613349
Netherlands,Europe,1992,77.42,15174244,26790.94961
Serbia,Europe,2002,73.213,10111559,7236.075251
Slovak Republic,Europe,1977,70.45,4827803,10922.66404
Slovenia,Europe,1997,75.13,2011612,17161.10735
Spain,Europe,1982,76.3,37983310,13926.16997
Switzerland,Europe,2007,81.701,7554661,37506.41907
Turkey,Europe,2002,70.845,67308928,6508.085718
Botswana,Africa,2002,46.634,1630347,11003.60508
Burkina Faso,Africa,2002,50.65,12251209,1037.645221
Burundi,Africa,1987,48.211,5126023,621.8188189
Cameroon,Africa,1997,52.199,14195809,1694.337469
Chad,Africa,1952,38.092,2682462,1178.665927
Cote d'Ivoire,Africa,1992,52.044,12772596,1648.073791
Djibouti,Africa,1962,39.693,89898,3020.989263
Ethiopia,Africa,1962,40.059,25145372,419.4564161
Gambia,Africa,1957,32.065,323150,520.9267111
Lesotho,Africa,1982,55.078,1411807,797.2631074
Libya,Africa,1997,71.555,4759670,9467.446056
Morocco,Africa,1987,62.677,22987397,2755.046991
Mozambique,Africa,1997,46.344,16603334,472.3460771
Namibia,Africa,1992,61.999,1554253,3804.537999
Reunion,Africa,2002,75.744,743981,6316.1652
Sierra Leone,Africa,1977,36.788,3140897,1348.285159
South Africa,Africa,1997,60.236,42835005,7479.188244
Sudan,Africa,1982,50.338,20367053,1895.544073
Togo,Africa,2007,58.42,5701579,882.9699438
Zambia,Africa,2002,39.193,10595811,1071.613938
Argentina,Americas,2002,74.34,38331121,8797.640716
Bolivia,Americas,2002,63.883,8445134,3413.26269
Brazil,Americas,1987,65.205,142938076,7807.095818
Canada,Americas,1997,78.61,30305843,28954.92589
Chile,Americas,1952,54.745,6377619,3939.978789
Colombia,Americas,1992,68.421,34202721,5444.648617
Dominican Republic,Americas,1962,53.459,3453434,1662.137359
Ecuador,Americas,1962,54.64,4681707,4086.114078
Guatemala,Americas,1957,44.142,3640876,2617.155967
Haiti,Americas,1982,51.461,5198399,2011.159549
Honduras,Americas,1997,67.659,5867957,3160.454906
Mexico,Americas,1987,69.498,80122492,8688.156003
Nicaragua,Americas,1997,68.426,4609572,2253.023004
Panama,Americas,1992,72.462,2484997,6618.74305
Paraguay,Americas,2002,70.755,5884491,3783.674243
Puerto Rico,Americas,1977,73.44,3080828,9770.524921
Trinidad and Tobago,Americas,1997,69.465,1138101,8792.573126
United States,Americas,1982,74.65,232187835,25009.55914
Uruguay,Americas,2007,76.384,3447496,10611.46299
Venezuela,Americas,2002,72.766,24287670,8605.047831
Australia,Oceania,2002,80.37,19546792,30687.75473
Australia,Oceania,1997,78.83,18565243,26997.93657
Australia,Oceania,1952,69.12,8691212,10039.59564
Australia,Oceania,1992,77.56,17481977,23424.76683
Australia,Oceania,1977,73.49,14074100,18334.19751
Australia,Oceania,1962,70.93,10794968,12217.22686
Australia,Oceania,1957,70.33,9712569,10949.64959
Australia,Oceania,2007,81.235,20434176,34435.36744
Australia,Oceania,1972,71.93,13177000,16788.62948
Australia,Oceania,1987,76.32,16257249,21888.88903
New Zealand,Oceania,2002,79.11,3908037,23189.80135
New Zealand,Oceania,1997,77.55,3676187,21050.41377
New Zealand,Oceania,1952,69.39,1994794,10556.57566
New Zealand,Oceania,1992,76.33,3437674,18363.32494
New Zealand,Oceania,1977,72.22,3164900,16233.7177
New Zealand,Oceania,1962,71.24,2488550,13175.678
New Zealand,Oceania,1957,70.26,2229407,12247.39532
New Zealand,Oceania,2007,80.204,4115771,25185.00911
New Zealand,Oceania,1972,71.89,2929100,16046.03728
New Zealand,Oceania,1987,74.32,3317166,19007.19129
